gender,age,under_30,senior_citizen,married,dependents,number_of_dependents,country,state,city,zip_code,latitude,longitude,population,quarter,referred_a_friend,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_service,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,total_revenue,satisfaction_score,cltv,churn
male,78,no,yes,no,no,0,united states,california,los angeles,90022,34.02381,-118.156582,68701,q3,no,0,1,,no,0.0,no,yes,dsl,8,no,no,yes,no,no,yes,no,no,month-to-month,yes,bank withdrawal,39.65,39.65,0.0,20,0.0,59.65,3,5433,1
female,74,no,yes,yes,yes,1,united states,california,los angeles,90063,34.044271,-118.185237,55668,q3,yes,1,8,offer e,yes,48.85,yes,yes,fiber optic,17,no,yes,no,no,no,no,no,yes,month-to-month,yes,credit card,80.65,633.3,0.0,0,390.8,1024.1,3,5302,1
male,71,no,yes,no,yes,3,united states,california,los angeles,90065,34.108833,-118.229715,47534,q3,no,0,18,offer d,yes,11.33,yes,yes,fiber optic,52,no,no,no,no,yes,yes,yes,yes,month-to-month,yes,bank withdrawal,95.45,1752.55,45.61,0,203.94,1910.88,2,3179,1
female,78,no,yes,yes,yes,1,united states,california,inglewood,90303,33.936291,-118.332639,27778,q3,yes,1,25,offer c,yes,19.76,no,yes,fiber optic,12,no,yes,yes,no,yes,yes,no,yes,month-to-month,yes,bank withdrawal,98.5,2514.5,13.43,0,494.00000000000006,2995.07,2,5337,1
female,80,no,yes,yes,yes,1,united states,california,whittier,90602,33.972119,-118.020188,26265,q3,yes,1,37,offer c,yes,6.33,yes,yes,fiber optic,14,no,no,no,no,no,no,no,yes,month-to-month,yes,bank withdrawal,76.5,2868.15,0.0,0,234.21,3102.36,2,2793,1
female,72,no,yes,no,yes,1,united states,california,pico rivera,90660,33.989524,-118.089299,63288,q3,no,0,27,offer c,yes,3.33,yes,yes,fiber optic,18,no,no,yes,no,no,no,no,no,month-to-month,yes,bank withdrawal,78.05,2135.5,0.0,10,89.91,2235.41,1,4638,1
female,76,no,yes,yes,yes,2,united states,california,los alamitos,90720,33.79499,-118.065591,21343,q3,yes,1,1,offer e,yes,15.28,no,yes,fiber optic,30,no,no,no,no,no,no,no,yes,month-to-month,yes,mailed check,70.45,70.45,0.0,0,15.28,85.73,2,3964,1
male,66,no,yes,yes,no,0,united states,california,sierra madre,91024,34.168686,-118.057505,10558,q3,yes,6,58,offer b,no,0.0,no,yes,dsl,24,no,yes,yes,no,no,yes,no,yes,month-to-month,yes,bank withdrawal,45.3,2651.2,40.95,0,0.0,2610.25,1,5444,1
female,70,no,yes,no,yes,2,united states,california,pasadena,91106,34.139402,-118.128658,23742,q3,no,0,15,offer d,yes,44.07,yes,yes,fiber optic,19,no,no,no,no,no,no,no,yes,month-to-month,yes,mailed check,74.45,1145.7,0.0,0,661.05,1806.75,2,5717,1
female,77,no,yes,no,yes,2,united states,california,pasadena,91107,34.159007,-118.087353,32369,q3,no,0,7,offer e,yes,26.95,no,yes,fiber optic,18,yes,no,no,no,no,no,no,no,month-to-month,no,bank withdrawal,76.45,503.6,11.05,0,188.65,681.2,2,4419,1
